"IssuerID","State","Plan Type","ReportingUnitID","PlanID","OverallRatingValue","MedicalCareRatingValue","MemberExperienceRatingValue","PlanAdministrationRatingValue","NotRatedReason_OverallRatingDesc","NotRatedReason_MedicalCareRatingDesc","NotRatedReason_MemberExperienceRatingDesc","NotRatedReason_PlanAdministrationRatingDesc"
11512,NC,POS,11512-NC-POS,11512NC0310016,4,3,5,3,,,,
11512,NC,POS,11512-NC-POS,11512NC0310017,4,3,5,3,,,,
11512,NC,POS,11512-NC-POS,11512NC0310018,4,3,5,3,,,,
11512,NC,POS,11512-NC-POS,11512NC0310019,4,3,5,3,,,,
11512,NC,POS,11512-NC-POS,11512NC0310020,4,3,5,3,,,,
11512,NC,POS,11512-NC-POS,11512NC0310021,4,3,5,3,,,,
11512,NC,POS,11512-NC-POS,11512NC0310022,4,3,5,3,,,,
11512,NC,POS,11512-NC-POS,11512NC0310023,4,3,5,3,,,,
11512,NC,POS,11512-NC-POS,11512NC0310024,4,3,5,3,,,,
11512,NC,POS,11512-NC-POS,11512NC0310025,4,3,5,3,,,,
11512,NC,POS,11512-NC-POS,11512NC0310029,4,3,5,3,,,,
11512,NC,POS,11512-NC-POS,11512NC0310030,4,3,5,3,,,,
11512,NC,POS,11512-NC-POS,11512NC0310031,4,3,5,3,,,,
11512,NC,POS,11512-NC-POS,11512NC0310032,4,3,5,3,,,,
11512,NC,POS,11512-NC-POS,11512NC0310033,4,3,5,3,,,,
11512,NC,POS,11512-NC-POS,11512NC0310034,4,3,5,3,,,,
11512,NC,POS,11512-NC-POS,11512NC0310035,4,3,5,3,,,,
11512,NC,POS,11512-NC-POS,11512NC0310036,4,3,5,3,,,,
11512,NC,POS,11512-NC-POS,11512NC0320001,4,3,5,3,,,,
11512,NC,POS,11512-NC-POS,11512NC0320002,4,3,5,3,,,,
11512,NC,POS,11512-NC-POS,11512NC0320003,4,3,5,3,,,,
11512,NC,POS,11512-NC-POS,11512NC0320004,4,3,5,3,,,,
11512,NC,POS,11512-NC-POS,11512NC0320005,4,3,5,3,,,,
11512,NC,POS,11512-NC-POS,11512NC0320006,4,3,5,3,,,,
11512,NC,POS,11512-NC-POS,11512NC0320007,4,3,5,3,,,,
11512,NC,POS,11512-NC-POS,11512NC0320008,4,3,5,3,,,,
11512,NC,POS,11512-NC-POS,11512NC0320009,4,3,5,3,,,,
11512,NC,POS,11512-NC-POS,11512NC0320010,4,3,5,3,,,,
11512,NC,POS,11512-NC-POS,11512NC0320011,4,3,5,3,,,,
11512,NC,POS,11512-NC-POS,11512NC0320012,4,3,5,3,,,,
11512,NC,POS,11512-NC-POS,11512NC0320013,4,3,5,3,,,,
11512,NC,POS,11512-NC-POS,11512NC0320014,4,3,5,3,,,,
11512,NC,POS,11512-NC-POS,11512NC0320015,4,3,5,3,,,,
11512,NC,POS,11512-NC-POS,11512NC0320016,4,3,5,3,,,,
11512,NC,POS,11512-NC-POS,11512NC0320017,4,3,5,3,,,,
11512,NC,POS,11512-NC-POS,11512NC0320018,4,3,5,3,,,,
11512,NC,POS,11512-NC-POS,11512NC0320019,4,3,5,3,,,,
11512,NC,POS,11512-NC-POS,11512NC0320020,4,3,5,3,,,,
11512,NC,POS,11512-NC-POS,11512NC0320024,4,3,5,3,,,,
11512,NC,POS,11512-NC-POS,11512NC0320025,4,3,5,3,,,,
11512,NC,POS,11512-NC-POS,11512NC0320026,4,3,5,3,,,,
11512,NC,POS,11512-NC-POS,11512NC0320027,4,3,5,3,,,,
11512,NC,POS,11512-NC-POS,11512NC0320028,4,3,5,3,,,,
11512,NC,POS,11512-NC-POS,11512NC0320029,4,3,5,3,,,,
11512,NC,POS,11512-NC-POS,11512NC0320030,4,3,5,3,,,,
11512,NC,POS,11512-NC-POS,11512NC0320031,4,3,5,3,,,,
11512,NC,POS,11512-NC-POS,11512NC0320032,4,3,5,3,,,,
11512,NC,POS,11512-NC-POS,11512NC0320033,4,3,5,3,,,,
11512,NC,POS,11512-NC-POS,11512NC0320034,4,3,5,3,,,,
11512,NC,POS,11512-NC-POS,11512NC0320035,4,3,5,3,,,,
11512,NC,POS,11512-NC-POS,11512NC0320036,4,3,5,3,,,,
11512,NC,POS,11512-NC-POS,11512NC0340001,4,3,5,3,,,,
11512,NC,POS,11512-NC-POS,11512NC0340002,4,3,5,3,,,,
11512,NC,POS,11512-NC-POS,11512NC0340003,4,3,5,3,,,,
11512,NC,POS,11512-NC-POS,11512NC0340004,4,3,5,3,,,,
11512,NC,POS,11512-NC-POS,11512NC0340005,4,3,5,3,,,,
11512,NC,POS,11512-NC-POS,11512NC0340006,4,3,5,3,,,,
11512,NC,POS,11512-NC-POS,11512NC0340007,4,3,5,3,,,,
11512,NC,POS,11512-NC-POS,11512NC0340008,4,3,5,3,,,,
11512,NC,POS,11512-NC-POS,11512NC0340009,4,3,5,3,,,,
11512,NC,POS,11512-NC-POS,11512NC0340010,4,3,5,3,,,,
11512,NC,POS,11512-NC-POS,11512NC0340011,4,3,5,3,,,,
11512,NC,POS,11512-NC-POS,11512NC0340012,4,3,5,3,,,,
11512,NC,POS,11512-NC-POS,11512NC0340013,4,3,5,3,,,,
11512,NC,POS,11512-NC-POS,11512NC0340014,4,3,5,3,,,,
11512,NC,POS,11512-NC-POS,11512NC0340015,4,3,5,3,,,,
